PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Serna-Chavez, Hector M.; Kissling, W. Daniel; Veen, Lourens E.; Swenson, Nathan G.; van Bodegom, Peter M.				van Bodegom, Peter/N-8150-2015	van Bodegom, Peter/0000-0003-0771-4500			Spatial scale dependence of factors driving climate regulation services in the Americas								GLOBAL ECOLOGY AND BIOGEOGRAPHY				27	7			828	838		10.1111/geb.12743				JUL 2018	2018	Aim: A key hypothesis in macroecology is that the relative importance of factors driving ecological phenomena changes with spatial scale. However, studies on ecosystem services usually ignore this. Here, we test how the importance of factors related to climate regulation services varies with spatial extent (i.e., area of assessment) and how covariation among factors affects scale dependencies.Location: The Americas.Time period: Present.Major taxa studied: Plants.Methods: We combined a multi-model inference framework with variance partitioning to quantify the importance of factors that could potentially influence climate regulation services (i.e., albedo, evapotranspiration and primary productivity). We quantified abiotic (climate, soil, heterogeneity in soils/topography), biotic (open vegetation, forest area and biomass,plant functional traits) and anthropogenic (forest fragmentation, managed vegetation, non-vegetated surfaces) conditions and tested their importance in relation to climate regulation services at spatial extents ranging from 9 x 10(3) to 1 x 10(6) km(2).Results: We found that the importance of abiotic factors in relation to climate regulation services increases with spatial extent. However, we found no evidence for a change from primarily biotically to abiotically driven climate regulation services with increasing spatial extent. All spatial extent dependencies were heavily influenced by covariation between abiotic, biotic and anthropogenic factors. After accounting for covariation, we found a primacy of abiotic factors as drivers of climate regulation services across spatial extents. Biotic and anthropogenic factors were less important than abiotic factors, and their independent effects were conserved across spatial extents.Main conclusions: Our results show that the relative importance of abiotic factors related to climate regulation services depends on spatial extent. Biotic and anthropogenic factors are less important for climate regulation services than abiotic factors, and this hierarchy is scale invariant. Our findings suggest that spatial extent dependence needs to be quantified and assessed in climate-change mitigation projects that focus on ecosystem services.									1	0	0	0	0	1	2	10	1466-822X	1466-8238		WOS:000439785700006		
J	Balagizi, Charles M.; Kasereka, Marcellin M.; Cuoco, Emilio; Liotta, Marcello				Liotta, Marcello/C-4974-2012	Liotta, Marcello/0000-0002-7203-1565; Balagizi, Charles/0000-0003-0313-2626			Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa								SCIENCE OF THE TOTAL ENVIRONMENT				628-629				1058	1078		10.1016/j.scitotenv.2018.01.284				JUL 1 2018	2018	We report the first delta O-18 and delta H-2 data of Virunga rainfall in the Eastern Democratic Republic of the Congo, situated on the limit between Central and Eastern Africa. The dataset is from 13 rain gauges deployed at Mount Nyiragongo and its surroundings sampled monthly between December 2013 and October 2015. The delta O-18 and delta H-2 vary from -6.44 to 6.16%., and -32.53 to 58.89%., respectively, and allowed us to define a LMWL of delta H-2 = 7.60 delta O-18 + 16.18. Three main wind directions, i.e. NE, E and SE, were identified in the upper atmosphere corresponding to three major moisture source regions. On the contrary, lower atmospheric winds are weaker in nature and originate mainly from the S and SW, creating a topographically-driven, more local moisture regime. The latter is due to the accumulation in the floor of the rift of water vapor from Lake Kivu forming a layer of isotopically enriched vapor that mediates the isotope enrichment of the falling raindrops. A strong seasonality is observed in both delta O-18 and delta H-2 data, and is primarily driven by combined seasonal and spatial variation in the moisture sources. The delta O-18 and delta H-2 seasonality is thus correlated to weather patterns, as the latter control the wet to dry season shifting, and vice versa. The key characteristic of seasonality is the variation of monthly precipitation amounts, since the mean monthly air temperature is nearly constant on an annual scale. Two regionally relevant hydrological processes contribute to the isotopic signature: namely moisture uptake from the isotopically enriched surface waters of East African lakes and from the depleted soil-water and plants. Consequently, the proportion of water vapor from each of these reservoirs in the atmosphere drives the enrichment or depletion of delta H-2 and delta O-18 in the precipitation. Thus, during wet periods the vapor from soil-plants evapotranspiration dominates yielding isotopically depleted precipitation, contrary to dry periods when vapor from lakes surface evaporation dominates, yielding isotopically enriched precipitation. At the global scale, our dataset reduces gaps in this region that has been poorly studied for delta O-18 and delta H-2 in precipitation. At the regional scale, the improved understanding of the ways land cover, moisture source seasonal and spatial dynamics, and atmospheric patterns impact precipitation spatial and temporal variabilities in Central-East African will contribute to the ongoing research on mitigating the impacts of ongoing climate change in sub-Saharan Africa. The reduction of gaps and uncertainties in delta H-2 and delta O-18 of precipitation, and the understanding of their interrelation with weather patterns are essential for a better past, present and future environmental and climatic modelling at both local and regional scales. (C) 2018 Elsevier B.V. All rights reserved.									4	0	0	1	0	4	2	21	0048-9697	1879-1026		WOS:000432462000107	30045530	
J	Prasad, Munoo; Tzortzakis, Nikos; McDaniel, Nicola				Tzortzakis, Nikolaos/W-6323-2019	Tzortzakis, Nikolaos/0000-0002-2719-6627			Chemical characterization of biochar and assessment of the nutrient dynamics by means of preliminary plant growth tests								JOURNAL OF ENVIRONMENTAL MANAGEMENT				216		SI		89	95		10.1016/j.jenvman.2017.04.020				JUN 15 2018	2018	Biochar can be produced from several organic sources with varying nutrients and metal concentrations. Four commercial grade biochars were evaluated as peat substitute. Biochars were characterised for plant nutrients and for biological stability. The results showed that there were negligible quantities of N and P and generally high levels of K and high biological stability. When these materials were mixed with peat at 10, 25 and 50% and nutrients were added to bring them to the same level of nutrients as in fertilized peat, it was found that biochar mixtures considerably reduced the levels of calcium chloride/DTPA (CAT) extractable N (including nitrate), P, and electrical conductivity greater extent with higher rates of biochar addition except for K. The pH and K levels were increased with biochar addition. The drop in EC has important implications regarding the use of other materials used to dilute peat, for example, corn posted green waste, the rate of dilution is limited due to high EC and biochar addition gives the potential for higher peat dilution of these materials. Nitrate and phosphorus are very vulnerable to leaching of these nutrients in the environment in peat substrates and the binding of these by biochar has implication for leaching and nutrient application strategy. Root development using Cress test and tomato plant height and biomass using containers, were in some cases better than peat indicating that biochar could be used to dilute peat e.g. for seedling production where root development and rapid growth are very important. Application of biochars resulted in a marked reduction of N (and P) in the plant. There were significant correlation between CAT extractable N and P and corresponding plant concentration, indicating the standard growing media test, CAT, would be suitable for assessing the nutrient status of peat biochar mixes. (C) 2017 Elsevier Ltd. All rights reserved.					5th IWA Specialized Conference on Resources-Oriented Sanitation (ROS)5th IWA Specialized Conference on Resources-Oriented Sanitation (ROS)	SEP 14-16, 2016SEP 14-16, 2016	IWAIWA	Athens, GREECEAthens, GREECE	4	0	0	1	0	4	7	36	0301-4797	1095-8630		WOS:000432234700011	28412057	
J	Thurstan, Ruth H.; Brittain, Zoe; Jones, David S.; Cameron, Elizabeth; Dearnaley, Jennifer; Bellgrove, Alecia				Bellgrove, Alecia/K-2601-2014; Thurstan, Ruth/K-5551-2014	Bellgrove, Alecia/0000-0002-0499-3439; Thurstan, Ruth/0000-0002-8045-1631			Aboriginal uses of seaweeds in temperate Australia: an archival assessment								JOURNAL OF APPLIED PHYCOLOGY				30	3			1821	1832		10.1007/s10811-017-1384-z				JUN 2018	2018	Global demand for seaweed has increased dramatically over recent decades and the potential for seaweed aquaculture to address issues around food security and climate-change mitigation are being recognised. Australia is a global hotspot for seaweed biodiversity with a rich, diverse Indigenous history dating back 65,000 years, including an extensive traditional knowledge of Australian natural resources. In our present review of archival literature, we explored the contemporary and historical uses and cultural significance of seaweeds to Indigenous Australians. We found records of seaweed use by Indigenous Saltwater Australians (Australian Aboriginal peoples from coastal areas across the nation who are the Traditional Owners/Guardians and custodians of the lands and waters characterised by saltwater environment) for a variety of purposes including cultural activities, ceremonial activities, medicinal uses, clothing, cultural history, food, fishing, shelter and domestic uses. Species-specific records were rarely recorded (and/or accurately translated) in the archival literature, with the exception of the use of the fucoid bull kelp, Durvillaea potatorum, which was prevalent. Our research is a step forward in the important task of recovering and conserving Indigenous Australian knowledge and customary traditions surrounding coastal resource use. Unlocking this knowledge creates opportunities for the continuance and revitalization of traditional customary practises that may enable innovative Indigenous business activities and product creation, based around food, sustainable natural-fibre technologies and health. Such research also has the potential to enhance a developing Australian seaweed industry by guiding species selection, preparation, use and sustainable resource management. We recommend our findings are used to inform the direction and locations of further research conducted in conjunction with Indigenous coastal communities in Australia's temperate regions, to explore in more detail the Indigenous Australian's historical heritage associated with coastal seaweed resources and their uses.									4	0	0	2	0	4	4	15	0921-8971	1573-5176		WOS:000433966200033		
J	Fitzgerald, Jared B.; Schor, Juliet B.; Jorgenson, Andrew K.								Working Hours and Carbon Dioxide Emissions in the United States, 2007-2013								SOCIAL FORCES				96	4			1851	1874		10.1093/sf/soy014				JUN 2018	2018	The well-established association between economic output and carbon emissions has led researchers in sociology and related disciplines to study new approaches to climate change mitigation, including policies that stabilize or reduce GDP growth. Within this degrowth approach, working time reduction is a key policy lever to reduce emissions as well as protect employment. In the United States, the abdication of responsibility for mitigation by the federal government has led to the emergence of state climate leadership. This study is the first to analyze the relationship between emissions and working hours at the state level. Our findings suggest that over the 2007-2013 period, state-level carbon emissions and average working hours have a strong, positive relationship, which holds across a variety of model estimation techniques and net of various political, economic, and demographic drivers of emissions. We conclude that working time reduction may represent a multiple dividend policy, contributing to enhanced quality of life and lower unemployment as well as emissions mitigation.									12	0	0	1	0	12	2	11	0037-7732	1534-7605		WOS:000434097300025		
J	Lechon, Yolanda; De La Rua, Cristina; Cabal, Helena				de la Rua, Cristina/H-9957-2015	de la Rua, Cristina/0000-0002-8659-8765			Impacts of Decarbonisation on the Water-Energy-Land (WEL) Nexus: A Case Study of the Spanish Electricity Sector								ENERGIES				11	5					1203	10.3390/en11051203				MAY 2018	2018	Over the last decades, combating climate change has been an important concern for policy makers. As a result, many policies have been designed towards this direction. Being electricity generation the focus of climate change mitigation policies, important changes are expected in this sector over the next few years as a result of the implementation of such policies. However, electricity production also generates other impacts on the water, energy and land (WEL) nexus that must be further investigated. To shed some light to this issue, this paper presents and discusses the potential impacts on the water-energy-land nexus resulting from the decarbonisation of the Spanish electricity system impacts under two different long-term scenarios. Using a Life Cycle Assessment (LCA) approach, a set of environmental impacts relevant for the nexus have been analysed for the current and future electricity generation technologies in Spain. Additionally, through the use of an optimization energy model-Times-Spain-the evolution of the electricity technologies in Spain until 2030, under two different scenarios and targets has been assessed. Taking into consideration such scenarios, the global warming, acidification, eutrophication, ecotoxicity, water consumption, resource depletion and land use impacts have been estimated. Results show that, over time, together with the decrease of greenhouse gas emission, acidification and eutrophication tend to decrease in both scenarios. On the contrary, ecotoxicity and resource use impacts tend to increase.									1	0	0	1	0	1	1	8	1996-1073			WOS:000435610300181		
J	Wang, Nana; Feng, Yuchuan; Liu, Liang; Guo, Xin								Effects of preparation methods on the structure and property of Al-stabilized CaO-based sorbents for CO2 capture								FUEL PROCESSING TECHNOLOGY				173				276	284		10.1016/j.fuproc.2018.02.005				MAY 2018	2018	CaO-based sorbents are promising candidates for CO2 capture at high temperatures via Ca looping systems. This work aims to examine the effects of preparation methods on the microstructure and performance of Al-stabilized CaO-based sorbents for capturing CO2. Different preparation techniques including wet mixing, co-precipitation and sol-gel auto-combustion synthesis were employed to prepare the A1(2)O(3)-stabilized Ca-based sorbents with various mass ratios of components. Changes in CO2 absorbing capacity and stability were clearly observed for the sorbents prepared with different methods. Field scanning electron microscope and N-2 adsorption and desorption isotherms analyses showed that the preparation methods tended to impact the morphology and porosity of the sorbents, hence affecting the adsorption capacity. The (27)A1 magic angle spinning nuclear magnetic resonance spectra of the mixed oxides revealed that the sorbents prepared from different methods all contained the same structural units of tetrahedral Al site (A1O(4)), but with obviously different intensity and broad shoulder peak. This demonstrated that the micro domain environment of (27)A1 atoms residing in the lattice could be effectively modified by the doping methods.									1	0	0	0	0	1	9	33	0378-3820	1873-7188		WOS:000429398400031		
J	Malek, Ziga; Verburg, Peter H.; Geijzendorffer, Ilse R.; Bondeau, Alberte; Cramer, Wolfgang				Bondeau, Alberte/E-9909-2012; Cramer, Wolfgang/B-8221-2008; Cramer, Wolfgang/O-2836-2019; Verburg, Peter H/Z-1582-2019; Malek, Ziga/I-2517-2019; Verburg, Peter/A-8469-2010	Cramer, Wolfgang/0000-0002-9205-5812; Cramer, Wolfgang/0000-0002-9205-5812; Malek, Ziga/0000-0002-6981-6708; Verburg, Peter/0000-0002-6977-7104; Geijzendorffer, Ilse R./0000-0002-8471-7695			Global change effects on land management in the Mediterranean region								GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS				50				238	254		10.1016/j.gloenvcha.2018.04.007				MAY 2018	2018	The Mediterranean region faces significant challenges to supply its growing population with food and living space. The region's potential to do so in the future is even more uncertain in the light of global change effects. Climate change will impact water availability in the region, which is already limited and often used at unsustainable rates. To investigate the effects of global change and explore alternative development pathways of Mediterranean land use, we simulated two future scenarios with different land, water and biodiversity management transitions. We adopted a land systems approach, where land use and land cover are combined with data on land management, irrigation and livestock density, taking into account the characteristics of Mediterranean multifunctional landscapes, specific agricultural products, such as permanent crops, and irrigation water demands. Future land system changes were explored using the CLUMondo model for different development pathways of the region. We constrained the withdrawal of irrigation water based on existing freshwater resources. In a 'growth' scenario, we simulated a hypothetical future without consideration of environmental constraints and where food production and urban expansion are main priorities. The 'sustainability' scenario represents a future where limited water resources are extracted in a sustainable way and where areas of high biodiversity value are protected. The growth scenario projected significant intensification of land management, and loss of agro-silvo-pastoral mosaic systems. To achieve this, we calculate that the region would need to increase water withdrawal for irrigation significantly, resulting in increased pressure on freshwater resources. The sustainability scenario presents a way of increasing food production and at the same time improving the state of water resources, wetlands and traditional landscapes. Achieving this future would require improvements of yields of rain-fed systems and efficiencies of irrigated systems. The results indicate that coordinated environmental policy together with appropriate market access are needed to steer the regions land management towards a more sustainable future while ensuring food production.									9	1	0	2	0	11	4	31	0959-3780	1872-9495		WOS:000436223800020		
J	Akinyoyenu, Afolabi Festus; Bin Majid, Mohammad Rafee; Zen, Irina Safitri								Botanical Gardens as Drivers of Climate Change Mitigation and Urban Sustainability in Ondo-State, Nigeria								ADVANCED SCIENCE LETTERS				24	5			3733	3739		10.1166/asl.2018.11475				MAY 2018	2018	The increasing pace of urbanisation implies that the fate of urban biotic communities, of which the local botanical gardens are a vital part, will continue to hang in the balance. The disappearance of plants from urban environments often endangers humans, reduces urban cooling and increases global warming and climate change. Consequently, threats to botanical gardens often provoke negative impacts on human ability to resuscitate and restore damaged native plant species, and invoke greater damage on the environment from permanent loss of plant conservation and genetic diversity. Threats to botanical gardens provoke negative impacts on human ability to resuscitate and restore damaged native plant species, as well as invoke greater damage on the environment through permanent loss of plant conservation and genetic diversity. This paper utilises site visits, oral and telephone interviews of eleven (11) botanical garden operators from the three geopolitical zones of the State, and published sources during the study. It was revealed that poor awareness and funding, lack of interaction, and non-implementation of botanical gardens criteria, are some of the problems facing botanical garden operators in the State. To date, attempts at linking the local botanical gardens to climate change mitigation and urban sustainability in Ondo-State is lacking, Policy measures that target the identified administrative and technical lapses identified are therefore recommended.					Annual International Conference on Social and Behavioural Sciences (ICSBS)Annual International Conference on Social and Behavioural Sciences (ICSBS)	AUG 14-16, 2017AUG 14-16, 2017		Singapore, SINGAPORESingapore, SINGAPORE	0	0	1	0	0	1	0	5	1936-6612	1936-7317		WOS:000444975300150		
J	Hu, Xiangping; Iordan, Cristina Maria; Cherubini, Francesco					Hu, Xiangping/0000-0003-3468-8248			Estimating future wood outtakes in the Norwegian forestry sector under the shared socioeconomic pathways								GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS				50				15	24		10.1016/j.gloenvcha.2018.03.004				MAY 2018	2018	The forest sector plays a key role in achieving low temperature stabilization targets, as woody biomass represents a cost-efficient alternative to fossil fuels for energy and material production. Estimates of future woody biomass demands vary in the Shared Socioeconomic Pathways (SSPs), depending on societal development trends, climate model projections, socioeconomic conditions, and climate and energy policies. The SSPs are qualitatively and quantitatively defined at global and macro-regional level, and their implementation for individual sectors at a national basis is challenging. In this paper, we provide estimates for forest wood outtakes in Norway until 2100 using key drivers from the SSPs such as population and Gross Domestic Product (GDP) and specific aspects of developments in the land use sector. First, we analyze historical wood harvest trends from 1960 to 2016 for the main tree species and wood classes and construct a regression model based on population, GDP and time. The model framework is based on a statistical approach that does not explicitly include market adjustments, but it is adapted to an interpretation of the salient characteristics of the different SSP scenarios to estimate future outtake volumes for each combination of tree species and wood classes in Norway. The SSP characteristics implemented in the model framework are GDP and population, land-use change regulation, participation of the land-use sector to climate change mitigation, and starting year of international cooperation for climate change mitigation. The produced estimates span a range of possible harvest rates and resource use potentials. Results show that SSP1 achieves a maximum mean extraction rate of 17.7 million m(3) (in 2090). Forest wood outtake volumes are the lowest in SSP3, reaching a maximum of about 11.9 million m(3) in 2040 and then declining. SSP2 and SSP4 generally lie in between SSP1 and SSP3. SSP5 is the most resource intensive scenario, with harvest rates achieving 27.5 million m(3) in 2100. Driven by high population and GDP, SSP5 far exceeds the forest maximum harvest potential in Norway. Variability in the estimates is larger when land use regulation is weak and market fluctuations are high, such as in SSP2, SSP3 and SSP5. The proposed model framework is an approach to interpret and translate the global qualitative SSP narratives into quantitative projections at a finer scale, and can favor the use of a consistent background setting such as the SSPs in interdisciplinary research activities across different spatial scales of analysis.									0	0	0	0	0	0	2	7	0959-3780	1872-9495		WOS:000436223800002		
J	Bazan, Jose; Rieradevall, Joan; Gabarrell, Xavier; Vazquez-Rowe, Ian					Vazquez-Rowe, Ian/0000-0002-7469-2033; Rieradevall, Joan/0000-0003-3360-6829			Low-carbon electricity production through the implementation of photovoltaic panels in rooftops in urban environments: A case study for three cities in Peru								SCIENCE OF THE TOTAL ENVIRONMENT				622				1448	1462		10.1016/j.scitotenv.2017.12.003				MAY 1 2018	2018	Urban environments in Latin America must begin decarbonizing their activities to avoid increasing greenhouse gases (GHGs) emissions rates due to their reliance on fossil fuel-based energy to support economic growth. In this context, cities in Latin America have high potential to convert sunlight into energy. Hence, the main objective of this study was to determine the potential of electricity self-sufficiency production and mitigation of GHG emissions in three medium-sized cities in Peru through the revalorization of underutilized rooftop areas in urban environments. Each city represented a distinct natural area of Peru: Pacific coast, Andean region and Amazon basin. More specifically, photovoltaic solar systems were the technology selected for implementation in these rooftop areas. Data on incident solar energy, temperature and energy consumption were collected. Thereafter, ArcGis 10.3 was used to quantify the total usable area in the cities. A series of correction factors, including tilt, orientation or roof profiles were applied to attain an accurate value of usable area. Finally, Life Cycle Assessment was the methodology chosen to calculate the reduction of environmental impacts as compared to the current context of using electricity from the regional grids. Results showed that the cities assessed have the potential to obtain their entire current electricity demand for residential, commercial and public lighting purposes, augmenting energy security and resilience to intermittent natural disasters, with the support of decentralized storage systems. This approach would also translate into substantial reductions in terms of GHG emissions. Annual reductions in GHG emissions ranged from 112 ton CO(2)eq in the city of Ayacucho to over 523 kton CO(2)eq in Pucallpa, showing that cities in the Amazon basin would be the ones that benefit the most in terms of climate change mitigation. (c) 2017 Elsevier B.V. All rights reserved.									14	0	0	5	0	14	5	51	0048-9697	1879-1026		WOS:000426349000141	29890610	
J	Kizinievic, Olga; Kizinievic, Viktor; Malaiskiene, Jurgita								Analysis of the effect of paper sludge on the properties, microstructure and frost resistance of clay bricks								CONSTRUCTION AND BUILDING MATERIALS				169				689	696		10.1016/j.conbuildmat.2018.03.024				APR 30 2018	2018	The paper analyses the effect of waste sludge from paper industry (paper sludge) on physical and mechanical properties of clay bricks, their microstructure and resistance to freezing and thawing. Paper sludge is not hazardous industrial waste mainly consisting of cellulose and calcite. Clay bodies were made from the mix containing from 5% to 20% of paper sludge and fired at 900 degrees C and 1000 degrees C temperatures. Open pore structure in the clay body is developed as a result of burnt cellulose fibres and calcite decarbonization. Physical and mechanical properties of clay bodies change depending on the content of added PS: shrinkage, density and compressive strength reduce, water absorption and effective porosity increase. It is recommended to add 5% of paper sludge to the clay body and fire it at 900 degrees C temperature, or alternatively add 5-15% of paper sludge and fire the clay body at 1000 degrees C temperature. In terms of resistance to freezing and thawing, such products are regarded as frost resistant in moderately aggressive environment, i.e. in structures protected from direct environmental effects. (C) 2018 Elsevier Ltd. All rights reserved.									1	0	0	0	0	1	0	6	0950-0618	1879-0526		WOS:000430994700066		
J	Sandberg, Mattias; Jakobsson, Simon					Jakobsson, Simon/0000-0003-1703-0145			Trees are all around us: Farmers' management of wood pastures in the light of a controversial policy								JOURNAL OF ENVIRONMENTAL MANAGEMENT				212				228	235		10.1016/j.jenvman.2018.02.004				APR 15 2018	2018	Wood pastures are some of the most species-rich environments found in Europe and therefore essential habitats for biodiversity conservation. Society also puts faith in multiple values of trees, ranging from climate change mitigation to socio-cultural traditions. Therefore, the seemingly arbitrary tree density limit for pasture environments imposed by the EU through its Common Agricultural Policy (CAP) threatened both biological and societal values. In this study on farmers' perspectives, we target the effects of the CAP tree density limit on management of wood pastures in a low-intensively managed agricultural landscape of southern Sweden. The case of simplifying nature by using simple number limitations was used as an entry point in semi-structured, open-ended, interviews with farmers and officials about their view on trees and pasture management in relation to policy directives. The interviews showed that the policy incentive shifted the management focus from grazing quality to the number of trees and that farmers are willing to cut in order to get subsidies and timber revenues, however not unreflectingly. Farmers had high knowledge about the wide ranging social, cultural and natural values of trees, and are often themselves as good regulators of tree management as policies intend to be. Our study reveals many difficulties in managing the complex relations within landscapes with simplified legal measures, opening up for further discussion about improving policy instruments to preserve both social and biological values of wood pastures. However, although the tree density limit has been criticised on many points related to biodiversity conservation, this study shows that other values linked to pasture trees, e.g. the aesthetic values and their importance as shelter for grazing animals, could be an argument to actually keep the focus on trees as indicators of pasture management quality. We suggest that trees in general and wood-pastures in particular therefore are good starting points, or boundary-objects, for collaboration between production and conservation interests of farming and environmental management. (C) 2018 Elsevier Ltd. All rights reserved.									6	0	0	2	0	6	0	17	0301-4797	1095-8630		WOS:000428097500025	29438928	
J	Schelhaas, Mart-Jan; Hengeveld, Geerten M.; Heidema, Nanny; Thuerig, Esther; Rohner, Brigitte; Vacchiano, Giorgio; Vayreda, Jordi; Redmond, John; Socha, Jarosaw; Fridman, Jonas; Tomter, Stein; Polley, Heino; Barreiro, Susana; Nabuurs, Gert-Jan				Hengeveld, Geerten/O-8943-2019; Vacchiano, Giorgio/H-3645-2019; ramon, anna/O-1249-2019	Vacchiano, Giorgio/0000-0001-8100-0659; 			Species-specific, pan-European diameter increment models based on data of 2.3 million trees								FOREST ECOSYSTEMS				5						21	10.1186/s40663-018-0133-3				APR 3 2018	2018	Background: Over the last decades, many forest simulators have been developed for the forests of individual European countries. The underlying growth models are usually based on national datasets of varying size, obtained from National Forest Inventories or from long-term research plots. Many of these models include country- and location-specific predictors, such as site quality indices that may aggregate climate, soil properties and topography effects. Consequently, it is not sensible to compare such models among countries, and it is often impossible to apply models outside the region or country they were developed for. However, there is a clear need for more generically applicable but still locally accurate and climate sensitive simulators at the European scale, which requires the development of models that are applicable across the European continent. The purpose of this study is to develop tree diameter increment models that are applicable at the European scale, but still locally accurate. We compiled and used a dataset of diameter increment observations of over 2.3 million trees from 10 National Forest Inventories in Europe and a set of 99 potential explanatory variables covering forest structure, weather, climate, soil and nutrient deposition.Results: Diameter increment models are presented for 20 species/species groups. Selection of explanatory variables was done using a combination of forward and backward selection methods. The explained variance ranged from 10% to 53% depending on the species. Variables related to forest structure (basal area of the stand and relative size of the tree) contributed most to the explained variance, but environmental variables were important to account for spatial patterns. The type of environmental variables included differed greatly among species.Conclusions: The presented diameter increment models are the first of their kind that are applicable at the European scale. This is an important step towards the development of a new generation of forest development simulators that can be applied at the European scale, but that are sensitive to variations in growing conditions and applicable to a wider range of management systems than before. This allows European scale but detailed analyses concerning topics like CO2 sequestration, wood mobilisation, long term impact of management, etc.									6	1	0	2	0	7	1	11	2095-6355	2197-5620		WOS:000429291300001		
J	Roughan, Brittney L.; Kellman, Lisa; Smith, Erin; Chmura, Gail L.					Chmura, Gail/0000-0001-7163-3903			Nitrous oxide emissions could reduce the blue carbon value of marshes on eutrophic estuaries								ENVIRONMENTAL RESEARCH LETTERS				13	4					044034	10.1088/1748-9326/aab63c				APR 2018	2018	The supply of nitrogen to ecosystems has surpassed the Earth's Planetary Boundary and its input to the marine environment has caused estuarine waters to become eutrophic. Excessive supply of nitrogen to salt marshes has been associated with shifts in species' distribution and production, as well as marsh degradation and loss. Our study of salt marshes in agriculturally intensive watersheds shows that coastal eutrophication can have an additional impact. We measured gas fluxes from marsh soils and verified emissions of nitrous oxide (N2O) in nitrogen-loaded marshes while the reference marsh was a sink for this gas. Salt marsh soils are extremely efficient carbon sinks, but emissions of N2O, a greenhouse gas 298 times more potent than CO2, reduces the value of the carbon sink, and in some marshes, may counterbalance any value of stored carbon towards mitigation of climate change. Although more research is merited on the nitrogen transformations and carbon storage in eutrophic marshes, the possibility of significant N2O emissions should be considered when evaluating the market value of carbon in salt marshes subject to high levels of nitrogen loading.									1	0	0	1	0	1	3	13	1748-9326			WOS:000430334200001		
J	Workman, Annabelle; Blashki, Grant; Bowen, Kathryn J.; Karoly, David J.; Wiseman, John				Karoly, David J/C-8262-2011	Karoly, David J/0000-0002-8671-2994; Workman, Annabelle/0000-0002-4403-614X; Bowen, Kathryn/0000-0002-2125-1963; Wiseman, John/0000-0003-2276-5517			The Political Economy of Health Co-Benefits: Embedding Health in the Climate Change Agenda								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				15	4					674	10.3390/ijerph15040674				APR 2018	2018	A complex, whole-of-economy issue such as climate change demands an interdisciplinary, multi-sectoral response. However, evidence suggests that human health has remained elusive in its influence on the development of ambitious climate change mitigation policies for many national governments, despite a recognition that the combustion of fossil fuels results in pervasive short- and long-term health consequences. We use insights from literature on the political economy of health and climate change, the science policy interface and power in policy-making, to identify additional barriers to the meaningful incorporation of health co-benefits into climate change mitigation policy development. Specifically, we identify four key interrelated areas where barriers may exist in relation to health co-benefits: discourse, efficiency, vested interests and structural challenges. With these insights in mind, we argue that the current politico-economic paradigm in which climate change is situated and the processes used to develop climate change mitigation policies do not adequately support accounting for health co-benefits. We present approaches for enhancing the role of health co-benefits in the development of climate change mitigation policies to ensure that health is embedded in the broader climate change agenda.									2	0	0	0	0	2	1	5	1660-4601			WOS:000434868800113	29617317	
